Algorithm	Number of Parameters	Initial Values	Final Values	Iterations	Initial Cost	Final Cost
stochastic_gradient_descent	26	"[1.1103643  2.2356985  2.0643349  1.156205   5.22416    2.3977656
 2.6851592  0.59892064 4.993033   2.3459861  1.7614852  1.2704413
 2.7353077  1.2097169  0.17263725 3.0462255  2.8853574  5.0862083
 3.3235826  4.9541316  5.3189106  1.0461262  5.7943897  3.5365388
 2.748933   5.7698326 ]"	"[1.1103643  2.2356985  2.0643349  1.156205   5.22416    2.3977656
 2.6851592  0.59892064 4.993033   2.3459861  1.7614852  1.2704413
 2.7353077  1.2097169  0.17263725 3.0462255  2.8853574  5.0862083
 3.3235826  4.9541316  5.3189106  1.0461262  5.7943897  3.5365388
 2.748933   5.7715254 ]"	0	0.9922709465026855	0.9922422766685486
stochastic_gradient_descent	28	"[3.3385603  0.1593168  1.6331133  4.530727   0.8786066  6.117374
 0.77848256 1.2854898  5.247411   1.421055   5.5270247  4.8105497
 1.5645705  1.3196621  0.61359084 2.8717542  2.149747   1.0423845
 2.6006243  2.534722   6.0888023  1.9508181  2.9905968  1.4427263
 2.6970155  6.140805   0.0578662  4.16831   ]"	"[3.3385603  0.1593168  1.6331133  4.530727   0.8786066  6.117374
 0.77848256 1.2854898  5.247411   1.421055   5.5270247  4.8105497
 1.5645705  1.3196621  0.61359084 2.8717542  2.149747   1.0423845
 2.6006243  2.534722   6.0888023  1.9444433  2.9914968  1.4427263
 2.6970155  6.140805   0.0578662  4.16831   ]"	0	0.9815202951431274	0.9806963801383972
stochastic_gradient_descent	30	"[3.675373   2.6640065  6.2041984  5.652876   1.726676   0.79328567
 0.5041277  3.0153656  5.7987885  2.255624   5.302783   1.6637682
 4.4684024  6.1800447  1.4665366  1.21825    3.5288393  4.4320602
 2.4236856  0.8907946  1.3222668  3.0339115  0.62987775 6.2252517
 4.367016   4.268351   0.23599036 4.277179   5.046929   2.3319747 ]"	"[3.675373   2.6640065  6.2041984  5.652876   1.726676   0.79328567
 0.5041277  3.0153656  5.7987885  2.255624   5.302783   1.6637682
 4.4662895  6.1800447  1.4665366  1.21825    3.5288393  4.4320602
 2.4236856  0.8907946  1.3222668  3.0339115  0.62987775 6.2252517
 4.367016   4.268351   0.23599036 4.277179   5.046929   2.3342993 ]"	0	0.9462401866912842	0.9460430145263672
stochastic_gradient_descent	34	"[4.4793067  2.3009012  4.4702005  3.2708685  3.3265033  2.1184971
 3.786518   5.943813   0.40652514 5.4475007  1.2956554  3.6657948
 4.5634704  1.5588032  4.420956   3.814709   1.3452941  1.9068936
 2.2260604  3.1902783  3.9699848  5.224168   1.9941478  2.373994
 6.0198445  1.6605684  4.508507   1.6046668  5.518977   4.289273
 4.8082643  1.8020803  3.7256413  2.9153779 ]"	"[4.4793067  2.3009012  4.4689517  3.2708685  3.3265033  2.1184971
 3.786518   5.943813   0.40652514 5.4475007  1.2956554  3.6657948
 4.5634704  1.5588032  4.420956   3.814709   1.3452941  1.9068936
 2.2260604  3.1902783  3.9699848  5.224168   1.9941478  2.373994
 6.0198445  1.6605684  4.508507   1.6046668  5.519949   4.289273
 4.8082643  1.8020803  3.7256413  2.9153779 ]"	0	0.9756999611854553	0.9756499528884888
stochastic_gradient_descent	36	"[4.019131   4.118938   3.7705748  2.8220634  4.437938   5.894772
 0.21198185 5.7715006  4.6568813  1.631277   3.4018807  2.4547918
 3.5717332  0.13347393 0.32008368 3.362355   2.0599017  5.0139046
 3.4765916  5.3096194  0.9373668  5.4209824  5.9338226  2.6159654
 4.2657065  5.6436853  4.5538554  3.199878   4.601559   4.0650396
 1.8608273  5.736976   0.31126627 0.8674291  1.5486282  0.24135743]"	"[4.019131   4.118938   3.7705748  2.8220634  4.437938   5.894772
 0.21198185 5.7715006  4.6587887  1.631277   3.4018807  2.4547918
 3.5717332  0.13347393 0.32008368 3.362355   2.0599017  5.0139046
 3.4765916  5.3096194  0.9373668  5.4209824  5.9338226  2.6159654
 4.2657065  5.6436853  4.5538554  3.199878   4.601559   4.0650396
 1.8608273  5.736976   0.31126627 0.8674291  1.5486282  0.2440307 ]"	0	0.9787320494651794	0.9785162210464478
